84,SS85,110.378546,-7.768363,SS86,85,1,2.25
85,SS86,110.378529,-7.768425,SS82,81,1,0.25
86,SS87,110.378448,-7.768321,SS88,87,1,2.25
87,SS88,110.378445,-7.768332,SS85,84,1,2.25
88,SS89,110.378351,-7.768292,SS90,89,1,2.25
89,SS90,110.378347,-7.768304,SS79,78,1,2.25
90,SS91,110.378929,-7.768449,SS92,91,1,2.25
91,SS92,110.378909,-7.768444,SS53,52,1,2.25
92,SS93,110.378421,-7.768155,SS94,93,1,2.25
93,SS94,110.378427,-7.76813,SS60,59,1,2.25
94,SS95,110.378497,-7.768181,SS96,95,1,2.25
95,SS96,110.37851,-7.768156,SS59,58,1,2.25
96,SS97,110.377922,-7.768174,SS52,51,1,2.25
